
# Original

### 1) Tf-idf Vectorizer
   NAME                   ,     PRECISION       ,    RECALL           ,     F1 SCORE        ,   ACCURACY
['CalibratedClassifierCV', 0.410958904109589, 0.029895366218236172, 0.05573618207152809, 0.8187895534361351]
['SGDClassifier', 0.33935585231736054, 0.21524663677130046, 0.2634146341463415, 0.7846510384169713]
['KNeighborsClassifier', 0.36445953593661573, 0.3208769307424016, 0.34128245892951775, 0.7784116231393172]
['MLPClassifier', 0.44368600682593856, 0.3238664673642252, 0.3744239631336405, 0.8063998573847937]
#### b. xmlReplaceBR
['BernoulliNB', 0.35314324974235656, 0.5122072745391131, 0.4180561203741358, 0.7448970496479187]
['RandomForestClassifier', 0.6625, 0.10563029397110114, 0.18220885259991407, 0.8303770389517783]
['BaggingClassifier', 0.5239043824701195, 0.1310413552566019, 0.20964527700278995, 0.8232462786344594]
['ExtraTreesClassifier', 0.5321888412017167, 0.12356751370204284, 0.20056611403154062, 0.8237810856582584]
['DecisionTreeClassifier', 0.3326063249727372, 0.3039362232187344, 0.3176256183285603, 0.7663784651038417]
['CalibratedClassifierCV', 0.45255474452554745, 0.03089187842551071, 0.05783582089552239, 0.8199483019876994]
['SGDClassifier', 0.11688311688311688, 0.004484304932735426, 0.008637236084452975, 0.8158481148052411]
['KNeighborsClassifier', 0.3695538057742782, 0.3507722969606378, 0.35991820040899797, 0.7768072020679205]
['MLPClassifier', 0.3986609860012173, 0.32635774788241156, 0.35890410958904106, 0.7914252607184241]
#### c. csv_3_ReplaceBR
['BernoulliNB', 0.33738317757009345, 0.5396113602391629, 0.41518113858539396, 0.728050628398253]
['RandomForestClassifier', 0.6690140845070423, 0.09466865969108122, 0.16586643387167177, 0.8296639629200464]
['BaggingClassifier', 0.6068181818181818, 0.13303437967115098, 0.2182263996730691, 0.8294856939121134]
['ExtraTreesClassifier', 0.5014005602240896, 0.08918784255107125, 0.15143824027072758, 0.8211961850432302]
['DecisionTreeClassifier', 0.29725182277061135, 0.2640757349277529, 0.2796833773087071, 0.7566628041714948]
